Change,Description,Date
New resources,The following resources were added: AWS::CodeArtifact::Domain and AWS::CodeArtifact::Repository. AWS::CodeArtifact::Domain Use the AWS::CodeArtifact::Domain resource to create an AWS CodeArtifact domain. AWS::CodeArtifact::Repository Use the AWS::CodeArtifact::Repository resource to create an AWS CodeArtifact repository.,"October 8, 2020"
Updated resources,The following resources were updated: AWS::ECS::Service AWS::ECS::Service Use the CapacityProviderStrategy property to specify a custom capacity provider strategy when creating a service.,"October 1, 2020"
Updated resource,The following resource was updated: AWS::Batch::JobDefinition. These property types were added. LogConfiguration Use the LogConfiguration property type to specify the log configuration options to send to a custom log driver for the container. Secrets Use the Secrets property type to specify a secret to expose to the container. Tmpfs Use the Tmpfs property type to specify the details of a tmpfs mount.  These property types were updated. ContainerPropertiesThese properties were added. ExecutionRoleArnSpecifies the execution role to be assumed for the job. LogConfigurationSpecifies the log configuration for a custom log driver for the job. SecretsSpecifies the secrets provided for the job.  LinuxParametersThese properties were added. InitProcessEnabledIndicates that an init process should be enabled inside the container that forwards signals and reaps processes. MaxSwapSpecifies the total amount of swap memory (in MiB) a job can use. SharedMemorySizeSpecifies the size (in MiB) of the /dev/shm volume. SwappinessSpecifies the job container's memory swappiness behavior. TmpfsSpecifies the details of the job's tmpfs mount.,"October 1, 2020"
Updated resource,"The following resource was updated: AWS::CloudFront::CachePolicy. AWS::CloudFront::CachePolicy In the AWS::CloudFront::CachePolicy resource, some properties are now required that previously were not required.  In the AWS::CloudFront::CachePolicy ParametersInCacheKeyAndForwardedToOrigin property type, use the EnableAcceptEncodingBrotli property to enable CloudFront to serve compressed objects to viewers that support the Brotli compression format. For more information, see Compression support in the Amazon CloudFront Developer Guide.","October 1, 2020"
New resource,The following resource was added: AWS::WorkSpaces::ConnectionAlias AWS::WorkSpaces::ConnectionAlias Use the AWS::WorkSpaces::ConnectionAlias resource to specify a connection alias. Connection aliases are used for cross-Region redirection.,"October 1, 2020"
Drift detection for private resources,"CloudFormation supports drift detection operations on an expanded list of AWS resources, as well as private resources that are defined as provisonable.  In addition to the resources that previously supported drift detection, CloudFormation now supports drift detection on all resources defined as provisionable in the CloudFormation registry. For more information, see Resources that support import and drift detection operations.","October 1, 2020"
Updated resource,The following resource was updated: AWS::ApiGateway::DomainName. AWS::ApiGateway::DomainName Use the AWS::ApiGateway::DomainName resource to configure mutual TLS authentication for an API.,"September 17, 2020"
Updated resource,The following resource was updated: AWS::ApiGatewayV2::DomainName. AWS::ApiGatewayV2::DomainName Use the AWS::ApiGatewayV2::DomainName resource to configure mutual TLS authentication for an API.,"September 17, 2020"
Updated resource,The following resource was updated: AWS::ApiGatewayV2::Api. AWS::ApiGatewayV2::Api Use the AWS::ApiGatewayV2::Api resource to disable the default endpoint for an HTTP API.,"September 17, 2020"
New resources,The following resources were added: AWS::AppFlow::Flow and AWS::AppFlow::ConnectorProfile. AWS::AppFlow::Flow Use the AWS::AppFlow::Flow resource to specify a new flow in Amazon AppFlow. AWS::AppFlow::ConnectorProfile Use the AWS::AppFlow::ConnectorProfile describe an instance of a connector in Amazon AppFlow.,"September 17, 2020"
New resources,The following resource was added: AWS::CloudFormation::StackSet. AWS::CloudFormation::StackSet Use the AWS::CloudFormation::StackSet to provision stacks into AWS accounts and across Regions by using a single CloudFormation template.,"September 17, 2020"
Updated resource,The following resource was updated: AWS::ApiGatewayV2::Authorizer. AWS::ApiGatewayV2::Authorizer Use the AWS::ApiGatewayV2::Authorizer resource to create a Lambda authorizer for an HTTP API.,"September 10, 2020"
Updated resource,The following resource was updated: AWS::CodeBuild::ReportGroup AWS::CodeBuild::ReportGroup Use the DeleteReports property to specify if any reports that belong to the report group should be deleted when the report group is deleted.,"September 10, 2020"
Updated resource,The following resource was updated: AWS::StepFunctions::StateMachine. AWS::StepFunctions::StateMachineThe AWS::StepFunctions::StateMachine now supports X-Ray tracing. You can use the TracingConfiguration property to enable X-Ray tracing for your state machines.,"September 10, 2020"
New resources,This is the first release of Amazon Kendra in AWS CloudFormation.,"September 10, 2020"
New resources,"The following resources were added: AWS::SSO::Assignment, AWS::SSO::PermissionSet. AWS::SSO::Assignment Use the AWS::SSO::Assignment resource to assign access to a principal for a specified AWS account using a specified permission set. AWS::SSO::PermissionSet Use the AWS::SSO::PermissionSet resource to create a permission set within a specified SSO instance.","September 10, 2020"
Update resource,"The following resource was updated: AWS::CloudFront::Distribution. AWS::CloudFront::Distribution In the CacheBehavior and DefaultCacheBehavior property types, use the RealtimeLogConfigArn property to specify the Amazon Resource Name (ARN) of the real-time log configuration for the cache behavior. For more information, see Real-time logs in the Amazon CloudFront Developer Guide.","September 3, 2020"
New resources,"The following resources were added: AWS::CloudFront::CachePolicy, AWS::CloudFront::OriginRequestPolicy, and AWS::CloudFront::RealtimeLogConfig. AWS::CloudFront::CachePolicy Use the AWS::CloudFront::CachePolicy resource to create a new cache policy in Amazon CloudFront. AWS::CloudFront::OriginRequestPolicy Use the AWS::CloudFront::OriginRequestPolicy resource to create a new origin request policy in Amazon CloudFront. AWS::CloudFront::RealtimeLogConfig Use the AWS::CloudFront::RealtimeLogConfig resource to create a new real-time log configuration in Amazon CloudFront.","September 3, 2020"
New resource,"The following resource was added: AWS::CodeGuruReviewer::RepositoryAssociation AWS::CodeGuruReviewer::RepositoryAssociationThe AWS::CodeGuruReviewer::RepositoryAssociation resource describes an associated repository that contains source code to be analyzed by AWS CodeGuru Reviewer. For more information, see RespositoryAssociation in the AWS CodeGuru Reviewer API Reference.","September 3, 2020"
New resource,The following resource was added: AWS::EKS::FargateProfile. AWS::EKS::FargateProfile Use the AWS::EKS::FargateProfile resource to create an AWS Fargate profile.,"September 3, 2020"
Updated resource,The following resource was updated: AWS::CodeCommit::Repository Code AWS::CodeCommit::Repository Code Use the BranchName property to specify a branch name to be used as the default branch when importing code into a repository.,"August 31, 2020"
Updated resource,The following resource was updated: AWS::ServiceCatalog::CloudFormationProvisionedProduct. AWS::ServiceCatalog::CloudFormationProvisionedProductThe PathName property is now available as an alternative to PathId.,"August 27, 2020"
New resources,The following resources were added: AWS::GameLift::GameServerGroup AWS::GameLift::GameServerGroup Use the AWS::GameLift::GameServerGroup resource to create a GameLift FleetIQ game server group to run low-cost game hosting on your Amazon EC2 instances.,"August 27, 2020"
New resources,The following resources were added: AWS::Route53Resolver::ResolverQueryLoggingConfig and AWS::Route53Resolver::ResolverQueryLoggingConfigAssociation. AWS::Route53Resolver::ResolverQueryLoggingConfig Use the AWS::Route53Resolver::ResolverQueryLoggingConfig resource to specify settings for a query logging configuration. AWS::Route53Resolver::ResolverQueryLoggingConfigAssociation Use the AWS::Route53Resolver::ResolverQueryLoggingConfigAssociation resource to configure DNS query logging.,"August 27, 2020"
Updated resource,The following resource was updated: AWS::KMS::Key. AWS::KMS::KeyAdded a KeyId attribute to the return values.,"August 26, 2020"
Updated resource,"The following resource was updated to support use of a launch template: AWS::EKS::Nodegroup. AWS::EKS::Nodegroup Use the LaunchTemplate property to specify a launch template specification that can be used to deploy or update a managed node group. If you use a launch template to deploy a node group, some settings that you normally set for a node group must be moved into the launch template. The text for affected settings has been updated to note that.","August 20, 2020"
Updated resources,The following resources were updated: AWS::ECS::TaskDefinition AWS::ECS::TaskDefinition Use the EnvironmentFiles property to specify a list of files containing the environment variables to pass to a container.,"August 13, 2020"
Updated resource,"The following resource was updated: AWS::FSx::FileSystem AWS::FSx::FileSystem In the LustreConfiguration property type, use DriveCacheType to specify the type of drive cache used by PERSISTENT_1 file systems that are provisioned with HDD storage devices.","August 13, 2020"
Updated resource,The following resource was updated: AWS::Lambda::EventSourceMapping. AWS::Lambda::EventSourceMapping Use the Topics property to specify the Amazon MSK topics to stream to a Lambda function.,"August 13, 2020"
New resource,The following resource was added: AWS::ApplicationInsights::Application AWS::ApplicationInsights::Application Use the AWS::ApplicationInsights::Application resource to add an application that is created from a resource group.,"August 13, 2020"
